년도,지방청,경찰서,경찰관
2016년,경기남부,성남중원,485
2016년,경기남부,분당,572
2016년,경기남부,부천소사,338
2016년,경기남부,부천원미,792
2016년,경기남부,부천오정,311
2016년,경기남부,광명,462
2016년,경기남부,안산단원,722
2016년,경기남부,안산상록,563
2016년,경기남부,시흥,725
2016년,경기남부,평택,772
2016년,경기남부,화성동부,615
2016년,경기남부,화성서부,414
2016년,경기남부,용인동부,630
2016년,경기남부,용인서부,341
2016년,경기남부,광주,404
2016년,경기남부,김포,458
2016년,경기남부,과천,163
2016년,경기남부,의왕,208
2016년,경기남부,하남,239
2016년,경기남부,이천,344
2016년,경기남부,안성,306
2016년,경기남부,여주,250
2016년,경기남부,양평,238
2016년,경기북부,의정부,727
2016년,경기북부,고양,498
2016년,경기북부,일산동부,449
2016년,경기북부,일산서부,349
2016년,경기북부,남양주,669
2016년,경기북부,파주,535
2016년,경기북부,양주,290
2016년,경기북부,동두천,208
2016년,경기북부,구리,347
2016년,경기북부,포천,340
2016년,경기북부,가평,193
2016년,경기북부,연천,164
2016년,강원,춘천,459
2016년,강원,강릉,394
2016년,강원,원주,539
2016년,강원,동해,229
2016년,강원,태백,150
2016년,강원,속초,298
2016년,강원,삼척,218
2016년,강원,영월,139
2016년,강원,정선,156
2016년,강원,홍천,186
2016년,강원,평창,138
2016년,강원,횡성,135
2016년,강원,고성,119
2016년,강원,인제,121
2016년,강원,철원,125
2016년,강원,화천,104
2016년,강원,양구,101
2016년,충북,청주흥덕,472
2016년,충북,청주상당,338
2016년,충북,청주청원,360
2016년,충북,충주,336
2016년,충북,제천,256
2016년,충북,영동,147
2016년,충북,괴산,166
2016년,충북,단양,111
2016년,충북,보은,126
2016년,충북,옥천,136
2016년,충북,음성,207
2016년,충북,진천,151
2016년,충남,천안서북,424
2016년,충남,천안동남,388
2016년,충남,서산,393
2016년,충남,논산,253
2016년,충남,아산,375
2016년,충남,공주,238
2016년,충남,보령,250
2016년,충남,당진,249
2016년,충남,세종,260
2016년,충남,홍성,202
2016년,충남,예산,177
2016년,충남,부여,178
2016년,충남,서천,165
2016년,충남,금산,139
2016년,충남,청양,128
2016년,전북,전주완산,539
2016년,전북,전주덕진,505
2016년,전북,군산,523
2016년,전북,익산,493
2016년,전북,정읍,309
2016년,전북,남원,262
2016년,전북,김제,250
2016년,전북,완주,202
2016년,전북,고창,174
2016년,전북,부안,179
2016년,전북,임실,124
2016년,전북,순창,118
2016년,전북,진안,129
2016년,전북,장수,102
2016년,전북,무주,105
2016년,전남,목포,636
2016년,전남,여수,516
2016년,전남,순천,477
2016년,전남,나주,256
2016년,전남,광양,273
2016년,전남,고흥,205
2016년,전남,해남,209
2016년,전남,무안,194
2016년,전남,장흥,144
2016년,전남,보성,152
2016년,전남,영광,156
2016년,전남,화순,158
2016년,전남,함평,125
2016년,전남,영암,170
2016년,전남,장성,141
2016년,전남,강진,137
2016년,전남,담양,136
2016년,전남,곡성,118
2016년,전남,완도,165
2016년,전남,진도,130
2016년,전남,구례,119
2016년,경북,경주,467
2016년,경북,포항북부,437
